sequence,Kingdom,Phylum,Class,Order,Family,Genus_water
H32-bin119_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H32-bin120_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H32-bin121_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,UBA12499
H32-bin122_1,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,RBG-16-43-11
H32-bin123_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,
H32-bin124,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,
H32-bin125_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA10216,UBA10216
H32-bin126_1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,
H32-bin127_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,,
H32-bin127_2,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,,
H32-bin128_1,Bacteria,Nitrospirota,Nitrospiria,9FT-COMBO-42-15,9FT-COMBO-42-15,9FT-COMBO-42-15
H32-bin129_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,,
H32-bin130_1,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,,
H32-bin131_1,Bacteria,Patescibacteria,ABY1,SG8-24,GWA2-47-26,
H32-bin132_1,Bacteria,Patescibacteria,ABY1,UBA10025,PEXW01,PEXW01
H32-bin133_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA922,
H32-bin134_1,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,,
H32-bin135_1,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10
H32-bin136_1,Bacteria,Patescibacteria,ABY1,UBA11705,,
H32-bin137_1,Bacteria,Chloroflexota_A,Ellin6529,P2-11E,P2-11E,UBA4735
H32-bin138_1,Bacteria,Nitrospinota,UBA9942,UBA9942,UBA9942,UBA9942
H32-bin139_1,Bacteria,Myxococcota,Polyangia,Palsa-1104,,
H32-bin140_1,Bacteria,Margulisbacteria,ZB3,,,
H32-bin141_1,Bacteria,Elusimicrobiota,Elusimicrobia,,,
H32-bin142_1,Bacteria,Patescibacteria,ABY1,SG8-24,2-12-FULL-60-25,SZUA-46
H32-bin143_1,Bacteria,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67
H32-bin144_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9159,
H32-bin145_1,Bacteria,Patescibacteria,ABY1,UBA10025,PEXW01,
H41-bin001_1,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,UBA5009
H41-bin002_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,C7867-002
H41-bin003_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H41-bin004_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H41-bin005_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,
H41-bin006_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H41-bin007_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,
H41-bin008,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H41-bin009_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,21-14-all-36-13,
H41-bin010_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H41-bin011_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,WO2-44-18,2011-GWA2-47-8b
H41-bin012_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H41-bin013_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H41-bin013_2,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H41-bin014_1,Bacteria,Patescibacteria,Microgenomatia,UBA1400,MFAQ01,2-01-FULL-50-23
H41-bin015_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H41-bin016,Bacteria,Patescibacteria,Paceibacteria_A,Moranbacterales,UBA1568,UBA1568
H41-bin017_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,UBA1550
H41-bin018_1,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,
H41-bin019_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H41-bin020_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,2-01-FULL-41-21
H41-bin021,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17_A,UBA10092,GWA1-42-19
H41-bin022,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H41-bin023_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H41-bin024_1,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,
H41-bin025_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,
H41-bin026_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,2-02-FULL-46-19
H41-bin027_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H41-bin028_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,2-01-FULL-41-21
H41-bin029_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR20,
H41-bin030_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2135,
H41-bin031_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA4124
H41-bin032,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,
H41-bin033_1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,ELB16-189
H41-bin034_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,C7867-002
H41-bin035_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,,
H41-bin036_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H41-bin037_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,PALSA-1337
H41-bin038_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H41-bin039_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,C7867-002
H41-bin040_1,Bacteria,Patescibacteria,Paceibacteria,,,
H41-bin041_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,
H41-bin042_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H41-bin043,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA12445,
H41-bin044_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,OLB19
H41-bin045_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H41-bin046_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,
H41-bin047_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H41-bin048_1,Bacteria,Spirochaetota,Brachyspirae,Brachyspirales,,
H41-bin049_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H41-bin050_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,C7867-002
H41-bin051_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H41-bin052_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H41-bin053_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H41-bin054,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,
H41-bin055_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,C7867-002
H41-bin056_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H41-bin057_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,OLB19
H41-bin058_1,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,
H41-bin059_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,2-02-FULL-44-35
H41-bin060_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
H41-bin061_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H41-bin062_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H41-bin063_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H41-bin064_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,UBA12026
H41-bin065_1,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,
H41-bin066_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H41-bin067_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,UBA1550
H41-bin068_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H41-bin069_1,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,2-02-FULL-55-14
H41-bin070_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,UBA5150
H41-bin071_1,Bacteria,Myxococcota,XYA12-FULL-58-9,XYA12-FULL-58-9,XYA12-FULL-58-9,
H41-bin071_2,Bacteria,Myxococcota,XYA12-FULL-58-9,XYA12-FULL-58-9,XYA12-FULL-58-9,
